,sex,master_channel_a,master_channel_f,master_channel_d,master_channel_ps,master_channel_gb,master_channel_de,master_channel_g,master_channel_s,master_channel_e,master_channel_b,master_channel_dd,newsletter,registration_payment,use_pickup_point,churned_1_month,email_domain_gc,email_domain_hc,email_domain_yc,email_domain_he,email_domain_other,email_domain_ye,email_domain_lc,email_domain_mc,email_domain_ic,email_domain_ce,email_domain_oe,email_domain_ge,email_domain_oc,email_domain_ae,with_promotion,is_lead,reg_year,days_from_first_click,age,box_satisfaction,reg_month_a,reg_month_b,reg_month_c,reg_month_d,reg_month_e,reg_month_f,reg_month_g,reg_month_h,reg_month_i,reg_month_j,reg_month_k,reg_month_l,random,income_per_region,population_per_region
75,1,1,0,0,0,0,0,0,0,0,0,0,1,10.99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,26.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,995,11589,8414240
76,0,1,0,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,11.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,881,11589,8414240
77,0,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,17.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,984,12401,2032863
78,1,0,0,0,0,1,0,0,0,0,0,0,1,2.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,15.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,203,17948,654214
79,0,0,0,0,0,0,0,0,0,1,0,0,1,20.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2017,0.0,23.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,578,17102,7675217
80,0,0,0,0,1,0,0,0,0,0,0,0,1,10.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,16.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,430,18707,6663394
81,0,0,0,0,0,0,0,0,0,1,0,0,1,10.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,14.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,723,13148,5003769
82,0,0,0,0,0,0,0,0,0,1,0,0,1,10.99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,19.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,931,15251,316798
83,0,0,0,0,0,0,0,0,0,1,0,0,1,10.99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,11.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,750,18707,6663394
84,0,0,0,0,0,0,0,0,1,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,12.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,305,14638,2399548
85,1,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,11.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,991,17102,7675217
86,0,0,0,0,1,0,0,0,0,0,0,0,1,10.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,19.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,511,18707,6663394
87,0,0,0,0,1,0,0,0,0,0,0,0,1,10.99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,21.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,600,17102,7675217
88,0,0,0,0,1,0,0,0,0,0,0,0,1,10.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,35.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,690,12401,2032863
