,sex,master_channel,newsletter,registration_payment,use_pickup_point,churned_1_month,email_domain,with_promotion,is_lead,reg_year,days_from_first_click,age,box_satisfaction,reg_month,random,income_per_region,population_per_region
183,0,f,1.0,10.99,0.0,1,gc,1,1,2017,4.5,13.5,152.34,a,338,11589,8414240
184,0,d,1.0,10.99,0.0,1,gc,1,1,2017,0.0,24.0,152.34,a,815,19195,2207776
185,1,f,1.0,10.99,0.0,1,hc,1,0,2017,0.25,11.0,152.34,a,8,18707,6663394
186,1,d,1.0,20.99,0.0,0,gc,0,1,2017,5.0,12.0,152.34,a,504,14638,2399548
187,0,gb,1.0,2.99,0.0,1,hc,1,1,2017,0.0,23.5,152.34,a,622,17102,7675217
188,1,ps,1.0,10.99,0.0,0,he,1,1,2017,0.0,16.0,152.34,a,381,11310,1067710
189,0,ps,1.0,10.99,0.0,0,hc,1,1,2017,0.25,15.0,152.34,a,174,11589,8414240
190,0,gb,1.0,2.99,0.0,0,hc,1,0,2017,0.25,19.5,152.34,a,254,17102,7675217
191,1,s,1.0,10.99,0.0,1,he,1,1,2017,0.25,15.0,152.34,a,855,18707,6663394
192,0,a,1.0,10.99,0.0,1,gc,1,0,2017,0.25,30.0,152.34,a,209,13621,2699499
193,1,de,1.0,10.99,0.0,0,gc,1,1,2017,0.25,16.5,152.34,a,10,11589,8414240
194,0,a,1.0,10.99,0.0,0,gc,1,0,2017,0.25,17.5,152.34,a,401,19195,2207776
195,0,a,1.0,10.99,0.0,1,gc,1,1,2017,0.0,10.5,152.34,a,596,11589,8414240
196,1,gb,1.0,2.99,0.0,1,gc,1,0,2017,0.0,19.5,152.34,a,836,18707,6663394
197,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,15.5,152.34,a,761,13621,2699499
198,0,a,1.0,10.99,0.0,1,ye,1,0,2017,0.0,18.0,152.34,a,384,17102,7675217
199,0,ps,1.0,10.99,0.0,0,gc,1,1,2017,0.0,18.0,152.34,a,521,15251,316798
200,0,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,11.0,152.34,a,194,13621,2699499
201,1,e,1.0,10.99,0.0,0,gc,1,1,2017,46.25,16.5,152.34,a,592,14638,2399548
202,1,f,0.0,10.99,0.0,0,gc,1,0,2017,1.0,14.5,152.34,a,865,13621,2699499
203,0,f,1.0,10.99,0.0,1,ic,1,1,2017,0.0,9.5,152.34,a,66,17102,7675217
204,1,ps,1.0,10.99,0.0,0,gc,1,1,2017,0.0,13.0,152.34,a,887,11818,1493898
205,0,f,1.0,10.99,0.0,1,gc,1,1,2017,0.5,27.5,152.34,a,508,15882,1319291
206,0,s,1.0,10.99,0.0,1,he,1,1,2017,0.0,12.0,152.34,a,352,17102,7675217
207,0,e,1.0,10.99,0.0,1,gc,1,1,2017,3.25,19.5,152.34,a,645,11589,8414240
